"draw","FOI","gamma","sigma","rho","prop_symp","immune_pct","R0_peak","attack_pct","total_reported","loglik","AIC","BIC","feasible"
1,0.0087966475488859,0.551464605031087,1.68894748179629,0.195178426720115,0.508573340013048,9.20135199685056,2.60179770291131,85.6892299926405,8249.80339839964,-209.951603054826,431.903206109652,443.61066842114,TRUE
2,0.00848829139469198,0.546323699871638,2.0715224749129,0.259387677042947,0.474387788085335,8.89441912852331,2.50980390899337,69.5023056927848,8322.99450407788,-209.36983154595,430.7396630919,442.447125403388,TRUE
3,0.00857457451570575,0.532795555475502,1.52342719222242,0.219399604566781,0.508076028971649,8.98041443458635,2.70457990930689,76.47611545388,8288.53533763969,-209.957561904702,431.915123809404,443.622586120892,TRUE
4,0.0103031746108352,0.556573061345895,2.01482284841096,0.249071055768138,0.502973518863646,10.6852725443859,2.55096606071736,69.5905623861153,8317.53006209718,-209.358672025032,430.717344050064,442.424806361553,TRUE
5,0.00581175124758404,0.523095063238169,1.57641131485021,0.255541550772042,0.626413256498027,6.18367834988728,2.67988666308608,52.3329823368978,8395.15899467787,-210.21575891362,432.43151782724,444.138980138728,TRUE
6,0.0154085198788031,0.533553707405598,2.02060274275795,0.272047577361056,0.440549728925023,15.5259327497935,2.73815362982206,76.5350794515709,8277.06407501175,-209.379634231472,430.759268462945,442.466730774433,TRUE
7,0.00928073790572272,0.564895759248699,1.78678575892051,0.244033242523103,0.587656004659065,9.68100292829854,2.58927542205965,60.4280881244933,8360.70119918657,-209.561802059492,431.123604118984,442.831066430472,TRUE
8,0.00721901475955163,0.555888848291409,1.69001654469409,0.218764660021986,0.571900500076887,7.61939718899815,2.56563553190636,67.5052248704109,8334.28592971919,-209.667154983872,431.334309967745,443.041772279233,TRUE
9,0.00435983120448361,0.544969789698871,1.7057934124078,0.298456375220774,0.515834357761903,4.67765948490362,2.53645534853974,53.5187367025708,8389.65785763531,-209.93277822019,431.865556440379,443.573018751868,TRUE
10,0.00943365232310658,0.554844244392598,1.42044704250825,0.266061605582616,0.597170506129495,9.83195721160852,2.77802811361102,54.7757450351942,8382.50975425003,-210.143160653959,432.286321307918,443.993783619407,TRUE
11,0.010879249752789,0.533935189450811,1.64532496623979,0.259485969752799,0.490568112237882,11.2458993009919,2.73597930121092,69.0142363680605,8329.00042287764,-209.736539857474,431.473079714947,443.180542026436,TRUE
12,0.00319078622698682,0.532172444578714,1.77492895252087,0.201097226244253,0.509501767469947,3.44650281916169,2.45971162927631,78.4248448249363,8287.54740470974,-209.793873395778,431.587746791557,443.295209103045,TRUE
13,0.00262112809766342,0.52053931094918,1.7495747302472,0.305205409129624,0.492804611998254,2.84050542337191,2.52834445671274,53.7749647178931,8394.30886021684,-210.025150920845,432.050301841689,443.757764153178,TRUE
14,0.0116860789081886,0.531208732946495,2.09377181836472,0.275821831717792,0.536129385811228,12.0248359314171,2.65106055961863,60.1997754825178,8365.76731363316,-209.45966241286,430.919324825721,442.626787137209,TRUE
15,0.0160335174287557,0.566328803693868,1.65829082298385,0.288516616886662,0.443402800287044,16.0991341306627,2.80208355166854,72.3124925550486,8290.89873414849,-209.607304874717,431.214609749434,442.922072060923,TRUE
16,0.00379289241820318,0.54468611460262,1.9779138933173,0.240548475682346,0.501200636458572,4.0826825002433,2.41236133431447,67.5168700385347,8340.19340914389,-209.46687459037,430.933749180741,442.64121149223,TRUE
17,0.00578809485299226,0.549970706607167,2.08051080912893,0.221596629483178,0.410439170815756,6.15934301277245,2.51940346660663,95.4811340791968,8705.08736277563,-209.775988033929,431.551976067859,443.259438379347,TRUE
18,0.00705610811455759,0.538386381833732,1.59469614562043,0.311927793906232,0.580990446878794,7.45439184223126,2.68447866957047,46.8939520676083,8401.3347152513,-210.225107972258,432.450215944516,444.157678256005,TRUE
19,0.0163406836548719,0.533500856760176,1.65865274451303,0.280889245041097,0.578913836191772,16.3793303417354,2.93078863989326,57.6354453550098,8371.53135967547,-209.837476233834,431.674952467668,443.382414779157,TRUE
20,0.00310633237729757,0.501057346316676,2.86901720055406,0.2629904955975,0.687998744335753,3.356914044197,2.38573268557171,45.0217140130325,8409.55638516359,-209.701501152515,431.40300230503,443.110464616519,TRUE
21,0.00505970533546417,0.528377561414948,2.10124882418655,0.266023333513673,0.606494897923509,5.40677462777449,2.48870409896706,51.4949299290509,8395.06304928651,-209.740302940533,431.480605881067,443.188068192555,TRUE
22,0.00862281347624779,0.533092916049209,2.04629181719797,0.19141294643528,0.517270996469179,9.02845505519642,2.53855240531078,86.0161865893626,8276.13879173886,-209.735421312265,431.47084262453,443.178304936018,TRUE
23,0.00716226339174372,0.5267908883269,1.45248374753565,0.188009974113106,0.567547749145835,7.56195003688441,2.70653780514967,78.5885749884046,8280.29973793591,-210.119444099793,432.238888199586,443.946350511075,TRUE
24,0.00325561438564148,0.529188193927143,1.39229061589882,0.229102958710775,0.49019837394719,3.51521314623685,2.62728914847222,71.9199511393397,8324.59978078405,-210.134233863062,432.268467726125,443.975930037614,TRUE
25,0.0106807208518512,0.551078348593886,1.84008334696506,0.270559692266887,0.455482963398941,11.0531162044121,2.61858627599933,70.9846972543784,8311.57406595977,-209.48620636292,430.972412725839,442.679875037328,TRUE
26,0.0069425026539728,0.545795399845047,1.96195712411552,0.27283341536439,0.443711105219304,7.33913841280632,2.49496682886081,69.4847505103683,8325.99734766297,-209.447493636784,430.894987273568,442.602449585057,TRUE
27,0.0053507341994253,0.538138745195438,1.71228831617242,0.274753609430642,0.568677798131163,5.70822631872315,2.57796083866502,53.3154025967281,8390.51757529018,-209.956384104096,431.912768208192,443.62023051968,TRUE
28,0.00332160166050578,0.531898121864231,1.39086385771967,0.264405372400565,0.383489018984811,3.58509898904642,2.61055778329378,79.2931471691528,8280.48160472763,-210.204916547317,432.409833094635,444.117295406123,TRUE
29,0.00672795369142823,0.528646551025365,1.44515061444625,0.279101857435517,0.529359527383114,7.12106308449715,2.74071227278482,57.1870462155453,8382.64231621531,-210.244040671658,432.488081343316,444.195543654805,TRUE
30,0.00566445609532827,0.537089650287824,1.61314750973402,0.239626239282381,0.666020220713803,6.03204721606536,2.62748154211044,52.39046950533,8392.79115049847,-210.108704354072,432.217408708145,443.924871019633,TRUE
31,0.00895728106778758,0.538167421518165,1.62363002133398,0.340874438090122,0.606097813999334,9.36081050100653,2.74131691201818,42.0268118612687,8406.82845514453,-210.337597179344,432.675194358688,444.382656670177,TRUE
32,0.00606422445922311,0.508290134422206,2.14522814555965,0.274154318703358,0.454383366643099,6.44298256057801,2.51923314338589,67.0726636242749,8350.10645130207,-209.515386982908,431.030773965817,442.738236277305,TRUE
33,0.00623849814477081,0.525543218169086,1.76436760207656,0.243270977451495,0.494016955989635,6.62152949877074,2.57779485840733,69.5188410800107,8333.62605048204,-209.726635467682,431.453270935365,443.160733246853,TRUE
34,0.0054650279259804,0.51965179139036,1.36381320286322,0.254914135162237,0.594208932343632,5.82633559405263,2.7723037777872,55.0680724992587,8391.02495760742,-210.456192353346,432.912384706691,444.61984701818,TRUE
35,0.00898801456337031,0.555112902916761,2.24097308377779,0.208171503757326,0.49365321439213,9.39128540252352,2.45309039483627,82.9855672529844,8254.07401065158,-209.464633035998,430.929266071997,442.636728383485,TRUE
36,0.00776349591153274,0.511414983039849,1.68751916265335,0.250538970601552,0.604580825557211,8.16863909199036,2.71439334317476,56.4391178583498,8385.97318168373,-210.048776953339,432.097553906678,443.805016218166,TRUE
37,0.0132619711297909,0.552504010134613,1.66399440011384,0.235693893483148,0.452062756394656,13.5254386506849,2.7356333367008,83.6814342408323,8236.01475216886,-209.804395179837,431.608790359673,443.316252671162,TRUE
38,0.00731762090374944,0.543069851367767,1.29821255885135,0.323157009754752,0.508805367192732,7.71912250770663,2.81654328738351,51.7886585942259,8393.90821799063,-210.468623405268,432.937246810535,444.644709122024,TRUE
39,0.00745103982052057,0.522948241201592,1.81301931508244,0.240175595942493,0.445226073523351,7.85387454724327,2.58789619534423,78.6947443309376,8282.9463409414,-209.762675374293,431.525350748585,443.232813060074,TRUE
40,0.0142502073301266,0.547508263188089,1.81820402956916,0.250430912938259,0.454982820760684,14.452602817251,2.72467207788373,79.2908875685145,8255.92214849494,-209.603198156156,431.206396312312,442.913858623801,TRUE
41,0.00599348286979359,0.54128947560538,1.69795605942765,0.243847829586308,0.544861209388266,6.37040343469338,2.57158925787493,62.9138920343052,8360.20761844795,-209.793044111149,431.586088222297,443.293550533786,TRUE
42,0.0177596097324421,0.51500939107117,1.47762843178255,0.300387384377993,0.543389318736769,17.6608408965947,3.1119497599774,58.3204474543217,8372.83697082339,-210.151588243861,432.303176487722,444.010638799211,TRUE
43,0.00413107869499921,0.515770616633607,2.0227619720278,0.192564475241628,0.461724019611919,4.43806433453673,2.58570985547526,96.0846605819625,8720.67718346626,-209.565911944086,431.131823888173,442.839286199661,TRUE
44,0.00804264645320171,0.578339672023332,1.42307389496192,0.180762980081321,0.38841550264637,8.44889031124977,2.76902090616678,97.7592750469455,6712.43675251812,-202.570026275796,417.140052551592,428.84751486308,TRUE
45,0.0289552155517626,0.503083053926765,1.53906946844154,0.25570963368924,0.557498395526564,27.0686976700205,3.47072898420422,74.5654202172177,8281.22766012541,-209.836440606444,431.672881212888,443.380343524377,TRUE
46,0.0092393851803945,0.533788762909438,1.71594979580496,0.232869295410831,0.536736036480756,9.64013435905237,2.66189197647139,69.0503581072382,8330.42328511733,-209.71268723637,431.425374472741,443.132836784229,TRUE
47,0.0145497737548188,0.5767246862601,1.68029056994576,0.182845831939961,0.485270969610223,14.7315701731097,2.96030532162977,97.889049926264,7911.23579563519,-204.376995031988,420.753990063977,432.461452375465,TRUE
48,0.0148454485480596,0.562709497222579,1.54895636576082,0.315277879463041,0.582902600155363,15.0059676922972,2.87636478147514,50.2707816738834,8387.76277100372,-209.992849467154,431.985698934308,443.693161245797,TRUE
49,0.00959743412601273,0.538640980308924,1.56889406775065,0.216598060019524,0.449320322394437,9.99334348110319,2.70900422772396,88.4164918270169,8273.1539566392,-210.189453551716,432.378907103432,444.086369414921,TRUE
50,0.0175384566217042,0.545352096899471,1.45902228436333,0.129120193478538,0.576577777762572,17.4624847219662,3.09713881447725,97.5554014672975,6403.35165703191,-203.861945465275,419.72389093055,431.431353242038,TRUE
51,0.00744525013430004,0.50531022938155,1.68818205871425,0.361371360236613,0.59943179334837,7.84803133123127,2.75883940210167,39.4567330491139,8413.40546147429,-210.530147551351,433.060295102703,444.767757414191,TRUE
52,0.0065113490701896,0.540208487771624,1.46659358812416,0.236070417606053,0.536379166245826,6.90034783703831,2.67333770915784,66.2858369073254,8347.08517469869,-210.002977679224,432.005955358448,443.713417669936,TRUE
