"draw","R0","gamma","sigma","rho","prop_symp","immune_frac","total_infections","total_reported","peak_reported_wk","attack_pct","finite"
1,2.27240522942184,1.03502699003544,2.06666971873398,0.243634084610899,0.719861955353095,0.0653153030266567,4970.11781509046,871.673718190391,43,4.97793220638572,TRUE
2,2.54924115161126,1.02186067976535,2.1390281406373,0.188253362524083,0.801610457592975,0.050480754011453,59046.3215438267,8910.43617310095,39,58.2152144469246,TRUE
3,2.24053503148501,1.02559241485715,2.34177382329941,0.279303551933848,0.751002450610242,0.0650711052684833,4333.3520252908,908.953745969123,43,4.3390316208979,TRUE
4,2.42276511470848,1.09335591101727,1.99719278331393,0.194741295360814,0.788609384951802,0.0626178802483488,29384.4345017242,4512.70903839129,43,29.3459449379096,TRUE
5,2.58971935786467,0.882088787498454,2.49888233904325,0.266837509513715,0.796766183602417,0.161017962351989,7616.48867774146,1619.31960116385,43,8.49864257011872,TRUE
6,2.71534077364933,1.24185889200761,2.32991930525038,0.194057825462446,0.817542198079888,0.0390599053585606,84229.5507221609,13363.0570673222,33,82.0569926275657,TRUE
7,2.32303768963247,1.05479340431292,1.88896796553982,0.226484787554303,0.782250776648976,0.119047964815548,1419.01333497844,251.40361399739,43,1.50793159144053,TRUE
8,2.39454280443678,0.962097209896783,2.00636112012157,0.24343266180131,0.750192418504955,0.105497849706562,4424.35140036514,807.980969419028,43,4.63036951947416,TRUE
9,2.73473085005486,0.776025900770335,2.15850236318607,0.240498155293418,0.85077243990646,0.068987609871761,57244.2912235427,11712.7087675986,40,57.5604457052379,TRUE
10,2.41689368267917,1.06082338130913,2.02043987742612,0.306945034447821,0.810011114767548,0.128120706684895,4055.04377719148,1008.20103130018,43,4.35398180632753,TRUE
11,2.59702156305074,1.11343036829091,2.3239771381059,0.252143646149872,0.80173422558585,0.0570317771987258,68548.7755984286,13857.2851695256,37,68.0534380606396,TRUE
12,2.30530733988576,0.660842784060247,2.35156197353537,0.228432352924984,0.727523058204808,0.065773661573656,1614.20800291509,268.264911608238,43,1.61753920406433,TRUE
13,2.32857924965655,0.588278164962118,2.54200138346013,0.232713100514802,0.859274312239011,0.0580008981723511,1726.44208096118,345.226936543274,43,1.71573002252743,TRUE
14,2.51281501331542,1.13982759681658,2.36678108828018,0.18583382644823,0.822289841083924,0.0804021428474058,50123.862059449,7659.39065149669,40,51.0262910500989,TRUE
15,2.44825110185706,1.25652983680305,1.87093416953175,0.249553820654235,0.83826016708686,0.0399178921365463,55112.1917139594,11528.9760068419,40,53.738647593587,TRUE
16,2.47429653485871,0.724625298348105,2.16260506946894,0.199230796888747,0.77784744757919,0.0617873546395857,11950.6480411128,1852.00587141442,43,11.9244292288896,TRUE
17,2.23630690946945,0.88058380944421,2.08744035171216,0.187267663118289,0.753803173272307,0.0310042747883388,4754.80787865363,671.202748247678,43,4.59365673338495,TRUE
18,2.42855984284234,0.953675291381402,2.25575294615277,0.262779574526049,0.867747761814481,0.11310245999549,6622.22073726493,1510.04107290991,43,6.99000729499114,TRUE
19,3.07433905271875,1.26353181366345,2.33074373238579,0.249482279625733,0.828664065306964,0.111315383010081,83195.7511548834,17199.640011225,32,87.6397057907827,TRUE
20,2.41882753018867,0.650945025514628,2.89609581355526,0.130675607171485,0.806146115992671,0.26576076620743,25.9888803890238,2.73776308236345,43,0.0331357961311791,TRUE
21,2.56139466563426,0.830957815806692,2.41206358676274,0.18503593099294,0.809962955260561,0.137738018798555,8392.41982467026,1257.79083784177,43,9.1116156050145,TRUE
22,2.36437769145046,1.0276624123866,2.33711709986732,0.191081698258487,0.714967307502048,0.0697385292125805,16830.1013120279,2299.28076690382,43,16.9367127855781,TRUE
23,2.29813199567447,0.959185055893047,2.43781902130439,0.297818711949667,0.710528836876313,0.102049508644596,2350.87388854331,497.465562544885,43,2.45089308320933,TRUE
24,2.74287980676755,0.668264328165374,2.39901031851755,0.315398102166834,0.763349068825089,0.0568731148885657,54433.5981358837,13105.3703578218,41,54.0311665148532,TRUE
25,2.11013509698388,1.10663487347032,2.07202019767836,0.218133407637852,0.815670459301776,0.0437542701718635,1332.36138169674,237.06036792365,43,1.30436745358478,TRUE
26,2.59654432892592,0.94768625377833,2.14660605268629,0.201241073815089,0.818530735327656,0.0400116734564275,65200.8378354042,10740.012679072,38,63.5820682353902,TRUE
27,2.16144578664064,0.851593240333697,2.25949535059411,0.239310472115104,0.82094615094286,0.102933187886656,243.44107248787,47.8266792109357,43,0.254048414708735,TRUE
28,3.11756680330292,0.67566831937073,2.35588413798353,0.31583769604357,0.807926868461632,0.0251289806274451,90580.3172696392,23113.7202036925,34,86.9829442560845,TRUE
29,2.49810806695042,0.93610348720033,2.40772430753674,0.299863279011994,0.82641569482,0.0763948589610648,33770.638533227,8368.76002297374,43,34.2294843721962,TRUE
30,2.31146067907077,0.872616668327266,2.27541877033626,0.258803856818039,0.776681357890145,0.221404569064881,37.6793626371648,7.57385825873113,43,0.0453042685996886,TRUE
31,2.79944564756001,1.04170407329555,2.25906166249332,0.256596788389722,0.904234045004012,0.137312917019516,56442.8582162235,13096.0724427545,38,61.249581959445,TRUE
32,2.66650163363073,0.897779572809331,2.75921835425725,0.180491150241964,0.820192310951362,0.043390941221733,73990.0670817647,10953.3011241961,36,72.4079677158983,TRUE
33,2.83367806421208,0.908233822571412,2.45826464559309,0.230195991907502,0.781287953898001,0.0585330401357001,79385.7142310023,14277.4695413796,35,78.9377420297533,TRUE
34,2.7130095442599,0.859391804845258,2.55714845621121,0.324386330040363,0.795975673956593,0.125219603150019,41378.7266455398,10684.1373284996,42,44.2818244627059,TRUE
35,2.07582817335809,1.04296792175384,2.01680959530994,0.171405138193149,0.736632824525248,0.0583728737963192,406.6937533789,51.3502314814756,43,0.404330001290455,TRUE
36,2.23920924068055,0.988927340613802,2.70210140078662,0.243903711741328,0.790460761340437,0.135701932747714,444.125023020516,85.6256672499834,43,0.481048791060287,TRUE
37,2.35533815198534,1.18650447091669,2.05234024576556,0.248431070841366,0.771705330007126,0.0426336578927352,34221.5508103627,6560.80451370263,43,33.4633147099165,TRUE
38,2.75890579300917,0.967103084530298,2.18612982250247,0.346930095299357,0.881910048613022,0.0654295515621378,73040.4749860452,22347.5467891457,36,73.1642577144064,TRUE
39,2.50183989377974,0.973769944727302,2.50133950655317,0.222293756965135,0.77737601269308,0.040475561570094,59032.6810153332,10201.191701856,39,57.5948820834916,TRUE
40,2.37446179561388,1.2130233950977,2.12213391319257,0.221484162238166,0.790324495418854,0.0435886516210058,42038.9415346123,7358.67956404965,42,41.1485445424525,TRUE
41,2.48002305696874,0.893449967627172,2.2123395428138,0.24194705925641,0.782016598513309,0.0858917930912723,17638.4465843101,3337.31079500553,43,18.0638431056058,TRUE
42,2.38101816050301,1.29425637768306,2.63786236453219,0.291000196970667,0.853204424058538,0.0849400255424369,34197.5029154617,8490.64683385888,42,34.9858365053075,TRUE
43,2.68841503454117,0.756139784414417,2.62445498999491,0.193803821900337,0.716465953203209,0.0458726430199234,65679.66952495,9119.87432296128,38,64.4424490801739,TRUE
44,2.47090802207059,1.00196173872316,1.72639837493406,0.306177466105281,0.701024721408554,0.0261204569462569,44531.6629329328,9558.18586081248,42,42.8066356547757,TRUE
45,2.74395137976149,1.47462267516676,2.85708969245057,0.275509488205056,0.796977945344262,0.0945326799758573,78364.6966850471,17206.9271643885,33,81.0205343043847,TRUE
46,2.80481945391074,1.05314564328686,2.32625616155356,0.238646066719249,0.768126814132829,0.0807715992214101,75316.3508115577,13806.2736274683,35,76.7031610128868,TRUE
47,2.3687130553779,1.22069965788117,1.74516316104325,0.245277393066259,0.703763899754598,0.0547998707874341,22862.4913731934,3946.46323916362,43,22.6436904190108,TRUE
48,2.36968226023317,1.22812276002811,1.9168158919088,0.273161517770569,0.871972145078494,0.114774994322803,5173.24928889481,1232.21228853392,43,5.47087963293436,TRUE
49,2.67378555995668,1.06717443850949,2.25191179335911,0.268540976343582,0.747426204565789,0.0417550641252603,77079.14859805,15470.9076056008,35,75.3022239101521,TRUE
50,2.13003996904062,1.28963276914885,2.15298548126297,0.296017314794175,0.630307776874868,0.10934078821475,282.78584535492,52.7627530107107,43,0.297230607899811,TRUE
51,2.49463617397022,0.973483124240557,2.81481025202121,0.24377850172979,0.929783041381656,0.130384506657658,14126.415762021,3201.90917246098,43,15.2073009885941,TRUE
52,2.53538818112783,0.924028835978978,2.22840633270215,0.293956464909051,0.772182074978737,0.0805540510204479,33860.306873288,7685.88039161756,43,34.4756221685704,TRUE
53,2.42627205163442,0.856926209738904,1.84905259981083,0.305539736579769,0.77613544913679,0.125451232973775,1839.38663596278,436.192552767091,43,1.96895785974495,TRUE
54,2.58165133622209,1.17357829141312,1.94162133767279,0.242102535437868,0.854279390001831,0.0695353504169074,59598.0562671366,12326.2610859258,39,59.9624879605862,TRUE
55,2.27458333086337,0.896000736844579,2.72673220576855,0.225134733189809,0.748614270130426,0.134273419245891,577.662509491876,97.3587044157322,43,0.624655915219769,TRUE
56,2.69304627506644,0.901032285027861,2.45092372913846,0.21782768126218,0.837513701245102,0.113943138186799,46569.7725243414,8495.89439940105,41,49.2028149247838,TRUE
57,2.24675578471996,0.860213748992782,2.20013859751126,0.173656693717232,0.816977541979574,0.037752603622708,4588.65706383007,651.009382992425,43,4.46422713928322,TRUE
58,2.47749792384068,1.16680708106839,1.89194429016158,0.185510807416952,0.921733388771444,0.0979879409375523,22755.2102416162,3890.94764976828,43,23.6165217588568,TRUE
59,2.52573212849024,1.16080809461573,2.4042859940305,0.342711800725357,0.859921615972398,0.0623857967210649,61662.4145350605,18172.2394797155,38,61.5664022268553,TRUE
60,2.40800680885669,0.911269180152773,2.49161002939046,0.349879915002704,0.784163804004538,0.0562077777264106,25464.0000619636,6986.38365293645,43,25.2579243991904,TRUE
61,2.39936713542537,1.19111615714097,1.82276237832009,0.322319662991149,0.678443864678702,0.0661285456375957,23842.4999637855,5213.77770164349,43,23.9007823190371,TRUE
62,2.41805217673694,1.06525267352399,2.56642962914415,0.348915398957216,0.821369341349679,0.116996837013739,10823.0243739763,3101.75336218708,43,11.4745008803434,TRUE
63,2.63294086131603,0.816510930516982,2.01049320203094,0.196653537675523,0.752589595625191,0.0393009083703862,57338.7024357928,8486.09392409939,41,55.8737611608313,TRUE
64,3.03613614814024,1.09580910962882,1.90835327304011,0.219208891991637,0.808070087008423,0.185413689742304,57417.7192513385,10170.753639513,38,65.9866767292724,TRUE
